Food ID,Thai,English,Energy (Energy) (kcal),Water (g),Protein (g),Fat (g),"Carbohydrate, avalible (Carbohydrate, total) (g)",Dietary fibre (Crud fibre) (g),Ash (g),Calcium (mg),Phosphorus (mg),Magnesium (mg),Sodium (mg),Potassium (mg),Iron (mg),Copper (mg),Zinc (mg),Iodine (ug),Betacarotene (ug),Retinol (ug),Total vitamin A (RAE) (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin C (mg),Vitamin E (mg),Sugar (g),Cholesterol (mg),Serving Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,"ก๋วยเตี๋ยว, เส้นจันท์, แห้ง","Noodle, rice, small size strip, dried",350,12.7,5.3,0.3,81.4,0.6,0.3,29,73,0,12,0.7,0.6,0,0,0,0,0.3,0.3,0,tr,0,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"ก๋วยเตี๋ยว, เส้นเล็ก, เส้นสด","Noodle, rice, small size strip, fresh",220,45.7,4.4,0.6,49.2,0.2,0.1,12,22,0,1.9,0.6,0.1,0.01,0,0,0,0,0,0,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,"ก๋วยเตี๋ยว, เส้นใหญ่, เส้นสด","Noodle, rice, big size strip, fresh",135,67.1,2.5,0.1,29.5,0.1,0.8,29,10,0,2.7,0.3,0.1,0,0,0,0,0,0,0,0.3,0,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,"ขนมจีน, แป้งสด","Noodle, rice, round, cooked",90,77.5,1.4,0.1,21,0.1,0.1,7,22,0,2.3,0.1,0.1,0,0,0,0,0,0,0,0,0,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"ขนมจีน, แป้งหมัก","Noodle, rice, round, fermented",77,80.7,0.9,0.1,18.2,0.1,0.1,14,7,0,0.4,0.9,0.1,0.02,0,0,0,0,0,0,0,0,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,ขนมปังปอนด์,Bread,329,12.2,12.2,1.9,62.6,0.3,3.3,22,121,0,366,2,2.9,0.21,0.16,1,12,0,0,0,1.4,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,"ข้าวกล้อง, งอก, ดิบ","Rice, brown, germinated, raw",366,10.3,7.57,3.73,74.13,2.9,1.44,6,12,0,12,0.2,0,0.2,0.04,1,0,0,0,0.77,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,"ข้าวกล้อง, ดอย, ดิบ","Hightland, brown rice, raw",364,12.3,7.26,3.44,72.77,3,1.24,216,167,0,164,2.76,0.31,0.36,0.07,1,3,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,"ข้าวกล้อง, ดอย, สีแดง, ดิบ","Hightland red, brown rice, raw",352,12.2,8.68,3.03,70.54,4.1,1.51,178,174,250,372,3.22,0.42,0.59,0.09,1,4,0,0,6.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,"ข้าวกล้อง, หอมนิล, ดิบ","Rice, brown, Homnil variety, raw",364,12,9.44,5.25,68.14,3.2,1.95,9,2.17,0,0,2.6,0.13,0.57,0,2,15,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,"ข้าวกล้อง, หอมมะลิ, ดิบ","Rice, brown, Jusmine variety, raw",357,12,7.72,3.52,71.9,3.3,1.5,16,255,0,20,2.44,0.07,1,0.47,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"ข้าวเจ้า, 5%, ดิบ","Rice, polished, 5%, raw",352,12.9,6.6,0.4,79.1,0.2,1,80,0.7,0,0,1.1,0.31,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,"ข้าวเจ้า, 10%, raw","Rice, polished, 10%, raw",352,12.8,6.5,0.9,79.4,0.2,0.4,0,93,0,0,0.17,0.4,1.3,1.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,"ข้าวเจ้า, 100%, ดิบ","Rice, polished, 100%, raw",353,12.4,6.4,0.4,79.9,0.2,0.9,130,0,0,0,0.9,0.26,0.43,1.6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
